               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  68,            0.022982,           0.0086349,            0.035228,              0.4985,             0.70612,             0.61588,             0.49769,            0.018517,           0.0024634,            0.025845,           0.0083418,           0.0083418,           0.0083418
                  69,            0.023069,           0.0087576,            0.034671,             0.53426,              0.7236,             0.62921,             0.50398,            0.018868,           0.0024579,             0.02736,            0.008317,            0.008317,            0.008317
                  70,            0.022777,           0.0089898,            0.035691,             0.52771,             0.65525,             0.62255,             0.50542,            0.018091,           0.0024209,            0.023521,           0.0082922,           0.0082922,           0.0082922
                  71,            0.022772,           0.0088927,            0.037106,             0.52402,             0.66319,             0.60444,             0.47696,            0.018702,           0.0024682,            0.026934,           0.0082675,           0.0082675,           0.0082675
                  72,            0.021552,           0.0087166,            0.033567,             0.52219,             0.73174,             0.63235,             0.51171,             0.01848,           0.0024407,             0.02639,           0.0082428,           0.0082428,           0.0082428
                  73,            0.021795,           0.0086778,            0.035242,             0.52789,             0.71282,             0.61479,             0.49367,            0.017751,           0.0024562,            0.026587,            0.008218,            0.008218,            0.008218
                  74,            0.022942,           0.0088938,            0.035614,             0.57481,             0.66232,             0.64955,             0.52378,            0.017951,           0.0024308,            0.026268,           0.0081932,           0.0081932,           0.0081932
                  75,            0.023251,           0.0088557,            0.036236,             0.59738,             0.62359,             0.63112,             0.50836,            0.019045,           0.0024179,            0.024488,           0.0081685,           0.0081685,           0.0081685
                  76,            0.022563,            0.008895,            0.036418,             0.54302,             0.71747,             0.63608,             0.51687,            0.018511,           0.0024321,            0.030515,           0.0081437,           0.0081437,           0.0081437
                  77,            0.022156,           0.0089519,            0.034856,             0.54175,             0.72919,             0.65031,             0.52477,            0.018442,           0.0023899,            0.030477,            0.008119,            0.008119,            0.008119
                  78,            0.023055,           0.0088617,            0.034903,              0.5156,             0.70055,             0.62313,             0.50609,            0.016812,           0.0023261,            0.025197,           0.0080942,           0.0080942,           0.0080942
                  79,            0.022874,           0.0090135,            0.035535,             0.53483,             0.74596,             0.65021,             0.52356,            0.017334,           0.0023925,            0.024564,           0.0080695,           0.0080695,           0.0080695
                  80,            0.022383,           0.0089986,            0.035587,             0.56486,              0.7233,             0.65258,             0.52526,            0.017829,           0.0023828,            0.024687,           0.0080447,           0.0080447,           0.0080447
                  81,            0.021534,           0.0086094,             0.03488,             0.55835,             0.67226,             0.64825,             0.51981,            0.018531,           0.0024043,            0.026681,             0.00802,             0.00802,             0.00802
                  82,            0.022873,           0.0087845,            0.035268,             0.52948,             0.74516,             0.63697,             0.50983,             0.01824,            0.002393,            0.028527,           0.0079953,           0.0079953,           0.0079953
                  83,            0.021857,           0.0087968,              0.0349,              0.5151,             0.73565,              0.6329,             0.51238,            0.017793,           0.0023943,            0.026995,           0.0079705,           0.0079705,           0.0079705
                  84,            0.021776,           0.0088232,            0.034826,             0.54886,             0.72252,             0.64152,             0.51719,             0.01815,           0.0024087,            0.028713,           0.0079457,           0.0079457,           0.0079457
                  85,            0.021752,           0.0087674,            0.033734,             0.52471,             0.76685,             0.65786,             0.52914,            0.018727,           0.0023773,            0.026383,            0.007921,            0.007921,            0.007921
                  86,            0.022362,           0.0085792,            0.033502,             0.52805,             0.75011,             0.65917,             0.53477,            0.018672,           0.0023379,            0.026042,           0.0078963,           0.0078963,           0.0078963
                  87,            0.021155,           0.0086777,             0.03284,             0.56236,             0.66077,             0.65277,             0.53016,            0.018453,           0.0023943,            0.031285,           0.0078715,           0.0078715,           0.0078715
                  88,             0.02214,           0.0086431,            0.033637,             0.53885,             0.69649,             0.63998,             0.51688,            0.018598,           0.0023852,            0.027189,           0.0078467,           0.0078467,           0.0078467
                  89,            0.021869,           0.0088324,             0.03376,             0.57247,             0.68298,             0.64459,             0.52466,            0.018142,           0.0023696,            0.023633,            0.007822,            0.007822,            0.007822
                  90,            0.021354,           0.0089996,            0.034725,             0.56886,              0.6537,             0.63766,             0.51905,            0.017682,           0.0023937,            0.025361,           0.0077973,           0.0077973,           0.0077973
                  91,            0.022932,           0.0088096,            0.033884,             0.53285,             0.74206,             0.64843,             0.52154,            0.018682,           0.0024314,            0.026255,           0.0077725,           0.0077725,           0.0077725
                  92,            0.021572,           0.0086768,            0.034311,             0.56321,             0.66477,             0.65242,             0.52627,              0.0186,            0.002423,            0.024274,           0.0077478,           0.0077478,           0.0077478
                  93,            0.021568,           0.0088093,            0.034123,             0.56242,             0.67496,             0.65065,             0.52432,            0.018108,           0.0023902,            0.028313,            0.007723,            0.007723,            0.007723
                  94,            0.022284,           0.0089295,            0.035393,             0.56705,             0.66643,             0.63831,             0.51359,            0.018357,           0.0023895,            0.029456,           0.0076983,           0.0076983,           0.0076983
